Wall time,Step,Value
1725725784.588826,796,0.6480080485343933
1725725992.2669752,1593,0.6997702121734619
1725726199.2887957,2390,0.7386681437492371
1725726403.9968276,3187,0.7420098781585693
1725726611.701697,3984,0.764103353023529
1725726818.7027273,4781,0.7668785452842712
1725727023.3789988,5578,0.7746648192405701
1725727230.4864328,6375,0.7678427696228027
1725727435.1269393,7172,0.7807922959327698
1725727643.2669332,7969,0.783937931060791
1725727850.0452697,8766,0.7865311503410339
1725728057.2563813,9563,0.787667989730835
1725728262.585986,10360,0.7926790714263916
1725728469.8285296,11157,0.7937530279159546
1725728677.1319082,11954,0.8042891025543213
1725728885.4034486,12751,0.8019833564758301
1725729089.9576576,13548,0.8018198013305664
1725729295.5214324,14345,0.8014246225357056
1725729502.5421329,15142,0.8016857504844666
1725729710.5429144,15939,0.8088034987449646
1725729918.6228025,16736,0.8076103329658508
1725730123.5712671,17533,0.8140057325363159
1725730327.9903765,18330,0.8164600133895874
1725730531.4905148,19127,0.8129977583885193
1725730738.1441712,19924,0.8097529411315918
1725730946.964566,20721,0.8122380971908569
1725731155.0263417,21518,0.8257952332496643
1725731359.6588142,22315,0.8148089051246643
1725731565.1674516,23112,0.8133713603019714
1725731770.9928887,23909,0.8166309595108032
1725731976.029403,24706,0.8177543878555298
1725732181.4709697,25503,0.8284774422645569
1725732387.1972642,26300,0.8262771368026733
1725732594.6537485,27097,0.823853075504303
1725732802.5535917,27894,0.8291568160057068
1725733007.8779387,28691,0.8303064107894897
1725733215.5959284,29488,0.8419146537780762
1725733420.288239,30285,0.8533228039741516
1725733625.3431392,31082,0.8427853584289551
1725733830.2238266,31879,0.8555775880813599
1725734037.7929723,32676,0.8537555932998657
1725734243.6117635,33473,0.8524876832962036
1725734451.2300286,34270,0.8640267252922058
1725734659.6280808,35067,0.8594794273376465
1725734868.1217592,35864,0.8553439378738403
1725735076.1219656,36661,0.8600987792015076
1725735283.9091496,37458,0.8618064522743225
1725735489.2158167,38255,0.8616134524345398
1725735698.1515493,39052,0.8610319495201111
1725735905.9862547,39849,0.8617046475410461
1725736112.2240548,40646,0.8626540899276733
1725736317.3579633,41443,0.8693786859512329
1725736522.193465,42240,0.8658103942871094
1725736727.3859792,43037,0.8703688979148865
1725736935.480851,43834,0.8711291551589966
1725737142.2844386,44631,0.8724454045295715
1725737347.2483907,45428,0.8643263578414917
1725737552.4622645,46225,0.8709425926208496
1725737757.7588723,47022,0.8647735714912415
1725737962.231681,47819,0.8760446906089783
1725738167.3836186,48616,0.8690860271453857
1725738372.3418875,49413,0.8680925369262695
1725738577.7793255,50210,0.8744649291038513
1725738782.718848,51007,0.8730853199958801
1725738988.4719076,51804,0.8745163083076477
1725739196.9560542,52601,0.876897394657135
1725739402.37152,53398,0.8803767561912537
1725739607.2260501,54195,0.8714802861213684
1725739812.3204796,54992,0.8829967379570007
1725740018.295688,55789,0.8760929703712463
1725740223.7343626,56586,0.8785209655761719
1725740432.4662948,57383,0.876812756061554
1725740637.20236,58180,0.8765234351158142
1725740842.4551113,58977,0.8783698081970215
1725741050.5004525,59774,0.8826974630355835
1725741258.4113445,60571,0.8817390203475952
1725741462.4975052,61368,0.8803064227104187
1725741666.6031628,62165,0.8883378505706787
1725741872.0812027,62962,0.8879063129425049
1725742077.6756818,63759,0.889222264289856
1725742285.9706109,64556,0.8961284160614014
1725742493.73994,65353,0.8953690528869629
1725742702.0683942,66150,0.8919926881790161
1725742908.3397343,66947,0.9026410579681396
1725743116.6499975,67744,0.9031144380569458
1725743321.8652058,68541,0.8965786099433899
1725743529.511109,69338,0.9002992510795593
1725743736.7133648,70135,0.9056456089019775
1725743941.809047,70932,0.8958910703659058
1725744150.5201063,71729,0.8983781337738037
1725744355.4017327,72526,0.8997932076454163
1725744560.8066857,73323,0.8989843130111694
1725744766.5279684,74120,0.9023001790046692
1725744972.5193856,74917,0.9000871777534485
1725745178.049513,75714,0.898669421672821
1725745384.6552796,76511,0.8976897597312927
1725745593.000859,77308,0.9019515514373779
1725745801.309831,78105,0.9039179086685181
1725746007.5060942,78902,0.8968461155891418
1725746213.2519536,79699,0.9011746048927307
1725746383.8447657,79700,0.8938369750976562
