Wall time,Step,Value
1725725827.126913,563,0.578881561756134
1725725978.2631195,1127,0.6289376616477966
1725726130.520205,1691,0.6531334519386292
1725726282.366299,2255,0.675845205783844
1725726434.3619943,2819,0.6954120397567749
1725726581.9230998,3383,0.7222042083740234
1725726732.578471,3947,0.7281051874160767
1725726882.9699986,4511,0.7400332093238831
1725727030.8554654,5075,0.7377332448959351
1725727181.8326044,5639,0.7393273115158081
1725727330.027361,6203,0.7539377212524414
1725727480.410794,6767,0.7581466436386108
1725727633.4539676,7331,0.7497564554214478
1725727784.8014894,7895,0.7581541538238525
1725727936.2334588,8459,0.7702413201332092
1725728087.3790836,9023,0.7690351009368896
1725728238.4753027,9587,0.7720155715942383
1725728386.7343252,10151,0.778003990650177
1725728538.012152,10715,0.7779929041862488
1725728688.5111194,11279,0.7869976758956909
1725728836.836637,11843,0.778314471244812
1725728988.659627,12407,0.7836930751800537
1725729139.8834019,12971,0.7798672914505005
1725729289.6598287,13535,0.7855901122093201
1725729436.8254602,14099,0.7873167991638184
1725729587.1891367,14663,0.7918373346328735
1725729735.9027882,15227,0.793654203414917
1725729886.1191123,15791,0.7930663824081421
1725730038.352784,16355,0.7961744070053101
1725730188.476979,16919,0.7969239950180054
1725730338.220647,17483,0.7999999523162842
1725730486.088609,18047,0.7945321798324585
1725730634.1052318,18611,0.809808611869812
1725730782.3569667,19175,0.8020426034927368
1725730931.839421,19739,0.8106127977371216
1725731082.6964889,20303,0.8011053800582886
1725731231.5406957,20867,0.8075017333030701
1725731379.9156082,21431,0.8066589832305908
1725731528.2130072,21995,0.8109922409057617
1725731679.3197794,22559,0.8384448289871216
1725731828.4241595,23123,0.8450092077255249
1725731981.5496266,23687,0.8475364446640015
1725732130.9941022,24251,0.8471665382385254
1725732283.005908,24815,0.8434582948684692
1725732435.4791987,25379,0.8554691076278687
1725732586.493754,25943,0.8423140048980713
1725732738.2382886,26507,0.8508744239807129
1725732887.0052469,27071,0.8572646379470825
1725733040.1337671,27635,0.8512758016586304
1725733192.4005735,28199,0.8553270697593689
1725733340.614531,28763,0.8577209711074829
1725733490.0878572,29327,0.857795238494873
1725733638.5527403,29891,0.8622798323631287
1725733786.2399685,30455,0.8586426973342896
1725733934.861489,31019,0.8556265830993652
1725734086.0257328,31583,0.8550128936767578
1725734234.5493746,32147,0.8605465888977051
1725734382.3203225,32711,0.8630226254463196
1725734531.4658134,33275,0.8669790029525757
1725734683.2115006,33839,0.8583354949951172
1725734834.9268653,34403,0.8661824464797974
1725734983.9402528,34967,0.8609497547149658
1725735130.8998554,35531,0.8601690530776978
1725735280.156231,36095,0.8695540428161621
1725735428.6807358,36659,0.8670024871826172
1725735581.1199894,37223,0.8696939945220947
1725735730.0448694,37787,0.8635553121566772
1725735878.3929622,38351,0.8709396719932556
1725736029.1874022,38915,0.870893120765686
1725736178.689332,39479,0.8734467029571533
1725736328.7804182,40043,0.8712165951728821
1725736476.9299753,40607,0.8756554126739502
1725736626.2461941,41171,0.880585789680481
1725736775.255799,41735,0.8798243999481201
1725736925.6095703,42299,0.8761919140815735
1725737077.139197,42863,0.878120481967926
1725737225.4457288,43427,0.8828082084655762
1725737373.5632,43991,0.8803410530090332
1725737521.857828,44555,0.8803996443748474
1725737673.6799338,45119,0.8768630027770996
1725737824.9829686,45683,0.8844097852706909
1725737975.735447,46247,0.8835173845291138
1725738124.4839432,46811,0.8834903240203857
1725738273.7928905,47375,0.8813953399658203
1725738421.968779,47939,0.884009838104248
1725738574.0433655,48503,0.8791592121124268
1725738722.953394,49067,0.8849550485610962
1725738875.3674247,49631,0.8827020525932312
1725739028.55054,50195,0.8809581995010376
1725739177.2849028,50759,0.8822442293167114
1725739328.5084214,51323,0.8794606924057007
1725739477.6901424,51887,0.8804484009742737
1725739630.24085,52451,0.8798916935920715
1725739779.2968688,53015,0.884222149848938
1725739930.6604247,53579,0.8845975399017334
1725740080.8855257,54143,0.8845888376235962
1725740230.1069007,54707,0.8862181901931763
1725740378.1208165,55271,0.8810198307037354
1725740527.8443594,55835,0.878795325756073
1725740677.6954176,56399,0.885408878326416
1725740783.9552732,56400,0.876764178276062
